annee,gov_latin,gouvernorat,nombre,superficie_ha
2023,Tozeur,توزر,0,0.0
2023,Tataouine,تطاوين,0,0.0
2023,Medenine,مدنين,0,0.0
2023,Kebili,قبلي,0,0.0
2024,Tunis,تونس,0,0.0
2024,Ariana,أريانة,11,11.55
2024,Ben Arous,بن عروس,4,1.42
2024,Manouba,منوبة,2,1.5
2024,Nabeul,نابل,39,30.0
2024,Zaghouan,زغوان,3,280.0
2024,Bizerte,بنزرات,61,322.0
2024,Beja,باجة,30,142.0
2024,Jendouba,جندوبة,69,59.0
2024,Kef,الكاف,1,3.0
2024,Siliana,سليانة,30,11.0
2024,Kasserine,القصرين,19,7.0
2024,Sidi Bouzid,سيدي بوزيد,2,0.11
2024,Kairouan,القيروان,15,17.0
2024,Gafsa,قفصة,1,0.01
2024,Sousse,سوسة,0,0.0
2024,Sfax,صفاقس,0,0.0
2024,Mahdia,المهدية,0,0.0
2024,Monastir,المنستير,1,1.5
2024,Gabes,قابس,0,0.0
2024,Tozeur,توزر,0,0.0
2024,Tataouine,تطاوين,0,0.0
2024,Medenine,مدنين,0,0.0
2024,Kebili,قبلي,0,0.0
2025,Tunis,تونس,2,0.0
2025,Ariana,أريانة,21,8.12
2025,Ben Arous,بن عروس,15,2.15
2025,Manouba,منوبة,67,53.58
2025,Nabeul,نابل,43,30.61
2025,Zaghouan,زغوان,74,824.75
2025,Bizerte,بنزرات,103,514.66
2025,Beja,باجة,159,946.12
2025,Jendouba,جندوبة,199,317.54
2025,Kef,الكاف,162,77.21
2025,Siliana,سليانة,46,1446.21
2025,Kasserine,القصرين,87,236.45
2025,Sidi Bouzid,سيدي بوزيد,8,2.75
2025,Kairouan,القيروان,29,36.17
2025,Gafsa,قفصة,4,0.0
2025,Sousse,سوسة,66,12.32
2025,Sfax,صفاقس,2,0.05
2025,Mahdia,المهدية,1,0.0
2025,Monastir,المنستير,6,0.32
2025,Gabes,قابس,2,0.0
2025,Tozeur,توزر,0,0.0
2025,Tataouine,تطاوين,0,0.0
2025,Medenine,مدنين,0,0.0
2025,Kebili,قبلي,4,0.0
