cell_id,acq_date,latitude,longitude,frp,t_max,h_mean,wind_max,ndvi,ndwi,confidence,precip_sum,elevation_m
4220150307,2026-09-02,36.56331,9.2217,3.09,38.2,32.0,24.5,0.319,0.006,l,0.0,459.0
3037578941,2026-09-02,36.56734,9.22565,33.36,38.2,32.0,24.5,0.29,-0.028,l,0.0,407.0
540751943,2026-09-02,36.7397,10.27207,2.83,35.2,44.0,18.7,0.105,-0.113,n,0.0,6.0
2514465128,2026-09-02,36.81411,9.45876,3.08,38.2,32.0,24.5,0.117,-0.08,l,0.0,384.0
3434324928,2026-09-02,36.81474,9.46348,3.08,38.2,32.0,24.5,0.101,-0.061,l,0.0,351.0
3746249744,2026-09-02,36.81756,9.4581,3.08,38.2,32.0,24.5,0.106,-0.074,n,0.0,350.0
470348114,2026-09-02,36.91955,9.63256,28.69,35.1,44.0,18.7,0.111,-0.11,n,0.0,216.0
535594778,2026-09-02,36.92301,9.63186,44.34,35.1,44.0,18.7,0.12,-0.134,n,0.0,216.0
2779718870,2026-09-01,36.05858,9.61591,20.61,33.8,30.0,16.9,0.278,-0.018,n,0.0,968.0
851133486,2026-09-01,36.05908,9.69127,3.31,33.8,30.0,16.9,0.16,-0.094,n,0.0,473.0
2990767792,2026-09-01,36.05919,9.65171,2.96,33.8,30.0,16.9,0.161,-0.101,n,0.0,599.0
2728780860,2026-09-01,36.06012,9.68599,3.31,33.8,30.0,16.9,0.247,-0.055,n,0.0,463.0
893785496,2026-09-01,36.06108,9.62259,8.95,33.8,30.0,16.9,0.052,-0.217,n,0.0,895.0
3982483403,2026-09-01,36.06114,9.68079,6.35,33.8,30.0,16.9,0.188,-0.106,n,0.0,437.0
64387300,2026-09-01,36.06223,9.61678,8.95,33.8,30.0,16.9,0.102,-0.133,n,0.0,1001.0
2204889788,2026-09-01,36.06733,9.68829,10.25,33.8,30.0,16.9,0.199,-0.067,n,0.0,438.0
3540419972,2026-09-01,36.46217,10.05229,1.21,37.3,35.0,15.1,0.115,-0.218,n,0.0,138.0
1009691360,2026-09-02,37.01159,9.82042,6.15,32.3,52.0,18.0,0.088,-0.066,l,0.0,79.0
368953775,2026-09-02,37.01221,9.82522,6.15,32.3,52.0,18.0,0.101,-0.102,l,0.0,83.0
3802722634,2026-09-02,37.18902,9.94379,5.22,32.3,52.0,18.0,0.072,-0.019,n,0.0,1.0
2605345617,2026-09-03,36.75295,10.27821,12.88,33.6,46.0,22.0,0.074,-0.094,n,0.0,3.0
2316837258,2026-09-03,36.82933,10.20591,1.86,33.5,46.0,22.0,0.049,-0.021,l,0.0,4.0
1724690229,2026-09-03,37.11048,9.58475,1.57,29.8,67.0,25.6,0.084,-0.06,n,0.0,5.0
1383623751,2026-09-04,30.25281,8.08477,0.77,36.2,23.0,30.2,0.056,-0.139,n,0.0,219.0
1619401767,2026-09-04,30.38835,7.90651,1.17,36.2,23.0,30.2,0.055,-0.157,n,0.0,207.0
1247246231,2026-09-04,30.66296,8.10351,1.17,36.2,23.0,30.2,0.065,-0.193,n,0.0,199.0
2162985023,2026-09-04,30.66325,8.09986,1.17,36.2,23.0,30.2,0.034,-0.086,n,0.0,199.0
2800907059,2026-09-04,30.82162,8.02811,0.58,35.3,32.0,30.2,0.051,-0.119,n,0.0,182.0
2932192364,2026-09-04,30.82684,8.02879,0.58,35.3,32.0,30.2,0.057,-0.151,n,0.0,203.0
3262260023,2026-09-04,30.98927,8.4305,0.73,35.3,32.0,30.2,0.056,-0.127,n,0.0,201.0
3360445215,2026-09-04,30.99437,8.43114,0.73,35.3,32.0,30.2,0.059,-0.131,n,0.0,213.0
900880546,2026-09-04,31.01048,8.17166,1.14,35.3,32.0,30.2,0.046,-0.169,n,0.0,183.0
850095288,2026-09-01,36.5899,10.3202,1.5,34.0,45.0,16.2,0.021,-0.139,n,0.0,126.0
218522466,2026-09-01,36.67654,9.92308,1.16,34.0,45.0,16.2,0.089,-0.113,n,0.0,79.0
442485732,2026-09-01,37.26903,9.77849,1.62,31.2,59.0,16.2,0.065,-0.143,n,0.0,60.0
